"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0","0.100000",1.16588051374717e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.100000","0.200000",1.5533818579599e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.200000","0.300000",2.0645213649031e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.300000","0.400000",2.73701704681179e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.400000","0.500000",3.61953341999608e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.500000","0.600000",4.77468414521018e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.600000","0.700000",6.2828063187758e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.700000","0.800000",8.24668990142005e-09
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.800000","0.900000",1.07974853746165e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","0.900000","1",1.41020598231414e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1","1.100000",1.83721274233647e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.100000","1.200000",2.38755460548841e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.200000","1.300000",3.09502488506686e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.300000","1.400000",4.00213694692243e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.400000","1.500000",5.16222243179263e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.500000","1.600000",6.64199355600145e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.600000","1.700000",8.52466172230448e-08
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.700000","1.800000",1.09137204820672e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.800000","1.900000",1.39375188279722e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","1.900000","2",1.77547710190613e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2","2.100000",2.25611717832872e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.100000","2.200000",2.85973109132834e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.200000","2.300000",3.61581090337058e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.300000","2.400000",4.56040266833584e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.400000","2.500000",5.73743317620374e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.500000","2.600000",7.20027456928546e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.600000","2.700000",9.01358260911251e-07
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.700000","2.800000",1.12554482929718e-06
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.800000","2.900000",1.40199065617714e-06
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","2.900000","3",1.74198499364224e-06
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","3","3.100000",2.15903989788245e-06
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","percent","Bin","3.100000","3.200000",2.66927853851142e-06
