"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.6","0.7","0.00134885141708535"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.7","0.8","0.00150110571380539"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.8","0.9","0.00166685255337664"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","0.9","1","0.0018468083622625"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1","1.1","0.00204166846631675"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.1","1.2","0.00225209834277934"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.2","1.3","0.00247872428639302"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.3","1.4","0.00272212355796275"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.4","1.5","0.00298281409920157"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.5","1.6","0.00326124391327144"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.6","1.7","0.00355778022571357"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.7","1.8","0.0038726985551264"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.8","1.9","0.00420617183662302"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","1.9","2","0.00455825975340876"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2","2.1","0.00492889844237987"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.1","2.2","0.00531789074808255"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.2","2.3","0.00572489720532781"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.3","2.4","0.0061494279338969"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.4","2.5","0.0065908356287989"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.5","2.6","0.00704830982620921"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.6","2.7","0.00752087261832425"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.7","2.8","0.00800737597980257"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.8","2.9","0.00850650085415861"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","2.9","3","0.0090167581304783"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3","3.1","0.00953649161924329"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.1","3.2","0.0100638831110909"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.2","3.3","0.0105969595743032"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.3","3.4","0.0111336025160858"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.4","3.5","0.0116715594997485"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.5","3.6","0.0122084577752649"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.6","3.7","0.0127418199450015"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.7","3.8","0.0132690815503217"
"28th MED GRP-ELLSWORTH AFB","1 wk ahead","Bin","percent","3.8","3.9","0.0137876104290211"
