"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","40","41",0.439326123011315
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","41","42",0.00845803236824907
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","42","43",0.00599917167976807
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","43","44",0.00432768121175074
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","44","45",0.00521276145957321
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","45","46",0.0088517324784851
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","46","47",0.0143585040203811
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","47","48",0.0189812053147375
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","48","49",0.0208501058380296
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","49","50",0.0199650055902016
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","50","51",0.0183912051495374
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","51","52",0.0179975050393014
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","52","53",0.0202600056728016
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","1","2",0.025767807214986
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","2","3",0.0595999166879767
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","3","4",0.0500595140166639
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","4","5",0.0613701171836328
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","5","6",0.0616651172662329
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","6","7",0.0481916134936518
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","7","8",0.0337335094453827
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","8","9",0.0184899051771735
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","9","10",0.00845803236824907
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","10","11",0.00304892085369784
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","11","12",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","12","13",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","13","14",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","14","15",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","15","16",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","16","17",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","17","18",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","18","19",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","19","20",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","20","21",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season onset","week","Bin","none","none",0.00242150067802019
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","40","41",0.491456152351407
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","41","42",0.00671088208037344
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","42","43",0.00473657146833715
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","43","44",0.00266463082603555
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","44","45",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","45","46",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","46","47",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","47","48",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","48","49",0.00266463082603555
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","49","50",0.00473657146833715
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","50","51",0.00690811214151476
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","51","52",0.00809250250867578
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","52","53",0.00868420269210283
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","1","2",0.00976998302869474
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","2","3",0.0139148043135893
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","3","4",0.0242765075257173
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","4","5",0.0343423106461163
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","5","6",0.0397702123287658
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","6","7",0.0425335131853891
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","7","8",0.0427307132465211
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","8","9",0.041349112818225
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","9","10",0.0401657124513708
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","10","11",0.0387841120230747
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","11","12",0.0356254110438774
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","12","13",0.0300002093000649
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","13","14",0.0226977070362892
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","14","15",0.0150992046807534
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","15","16",0.00858559266153372
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","16","17",0.0041448712849101
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","17","18",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","18","19",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","19","20",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak week","week","Bin","20","21",0.00244447075778593
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0","0.100000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.100000","0.200000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.200000","0.300000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.300000","0.400000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.400000","0.500000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.500000","0.600000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.600000","0.700000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.700000","0.800000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.800000","0.900000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","0.900000","1",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1","1.100000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.100000","1.200000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.200000","1.300000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.300000","1.400000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.400000","1.500000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.500000","1.600000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.600000","1.700000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.700000","1.800000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.800000","1.900000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","1.900000","2",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2","2.100000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.100000","2.200000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.200000","2.300000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.300000","2.400000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.400000","2.500000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.500000","2.600000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.600000","2.700000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.700000","2.800000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.800000","2.900000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","2.900000","3",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3","3.100000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.100000","3.200000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.200000","3.300000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.300000","3.400000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.400000","3.500000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.500000","3.600000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.600000","3.700000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.700000","3.800000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.800000","3.900000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","3.900000","4",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4","4.100000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.100000","4.200000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.200000","4.300000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.300000","4.400000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.400000","4.500000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.500000","4.600000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.600000","4.700000",0.00053251189030255
"28th MED GRP-ELLSWORTH AFB","Season peak percentage","percent","Bin","4.700000","4.800000",0.00053251189030255
